b0907,K00831,GO:0006563,GO:0006564,GO:0033359,GO:0042823,GO:0004648,GO:0005515,GO:0030170,GO:0042803,GO:0005829
b2913,K00058,GO:0006564,GO:0004617,GO:0042802,GO:0047545,GO:0070403,GO:0070404,GO:0070905,GO:0005829,
b4388,K01079,GO:0006564,GO:0008652,GO:0000287,GO:0004647,GO:0016791,GO:0005737,,,
